"","id","p1","p1freq","p2","p2freq","p3","p3freq","p4","p4freq","p5","p5freq","p6","p6freq","p7","p7freq","p8","p8freq","p9","p9freq","p10","p10freq","p11","p11freq","p12","p12freq","p13","p13freq","p14","p14freq","p15","p15freq","p16","p16freq","p17","p17freq","p18","p18freq","p19","p19freq"
"127",127,"park Żywiciela","Przynajmniej kilka razy w tygodniu","kawiarnia Mały Format","Kilka razy w miesiącu","Karma, plac Zbawiciela","Kilka razy w roku","park Żywiciela","Przynajmniej kilka razy w tygodniu","park Lelewela","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w roku","Eufemia","Kilka razy w roku","Plan B","Kilka razy w roku","Cafe Kulturalna","Kilka razy w roku","praga, ul. Inżynierska","Kilka razy w miesiącu","Wola, Mirów","Kilka razy w miesiącu","ul. Felińskiego/Kozietulskiego","Kilka razy w miesiącu","Ogród Krasińskich","Kilka razy w miesiącu","kino Muranów","Kilka razy w roku","Cytadela","Kilka razy w roku","nad Wisłą","Kilka razy w roku","cmentarz Powązkowski","Raz w roku lub rzadziej","lasek Bielański","Kilka razy w roku","pizzeria Potocka 21","Kilka razy w roku"
"128",128,"park","Przynajmniej kilka razy w tygodniu","kino","Przynajmniej kilka razy w tygodniu","zoo","Przynajmniej kilka razy w tygodniu","silownia","Przynajmniej kilka razy w tygodniu","park","Przynajmniej kilka razy w tygodniu","szkola","Przynajmniej kilka razy w tygodniu","praca","Przynajmniej kilka razy w tygodniu","skzola","Przynajmniej kilka razy w tygodniu","biblioteka","Przynajmniej kilka razy w tygodniu","zoo","Przynajmniej kilka razy w tygodniu","ksiegarnia","Przynajmniej kilka razy w tygodniu","myjnia","Przynajmniej kilka razy w tygodniu","garaz","Przynajmniej kilka razy w tygodniu","dom","Przynajmniej kilka razy w tygodniu","","","","","","","","","",""
"129",129,"bulwary wiślane","Kilka razy w miesiącu","Cud nad Wisłą","Kilka razy w miesiącu","ul. Poznańska","Kilka razy w miesiącu","Basen OSiR Włochy","Kilka razy w miesiącu","park Sowińskiego","Kilka razy w miesiącu","park Szymańskiego","Kilka razy w miesiącu","Cud nad Wisłą","Kilka razy w miesiącu","1500m2","Kilka razy w miesiącu","MonoBar/55","Kilka razy w roku","Znajomi Znajomych","Kilka razy w roku","Patio Kredytowa","Kilka razy w roku","Plażowa","Kilka razy w roku","Kufle i Kapsle","Kilka razy w roku","Pawilony przy Nowym Świecie","Kilka razy w roku","","","","","","","","","",""
"130",130,"Znajomi znajomych","Kilka razy w roku","Między nami","Kilka razy w roku","Warsaw Tortilla Facotry","Kilka razy w roku","Kanał Żerański","Kilka razy w miesiącu","Parki śródmieścia","Kilka razy w miesiącu","Pole mokotowskie","Kilka razy w roku","Pomost 511","Kilka razy w miesiącu","Wisłą","Kilka razy w miesiącu","Klubokawiarnia","Kilka razy w roku","Bonjour Vietnam","Kilka razy w miesiącu","Równo noc","Kilka razy w roku","Przegryź","Kilka razy w roku","Bątą","Raz w roku lub rzadziej","","","","","","","","","","","",""
"131",131,"Bulwary Wiślane","Kilka razy w miesiącu","Solec 44","Kilka razy w miesiącu","Znajomi Znajomych","Kilka razy w roku","Okęcie Tenis Club","Przynajmniej kilka razy w tygodniu","Squash City Ochota","Kilka razy w miesiącu","Deski Tenis Club","Kilka razy w miesiącu","Bolek","Kilka razy w roku","PKP Powiśle","Kilka razy w miesiącu","Piw Paw","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"132",132,"Pardon to tu","Przynajmniej kilka razy w tygodniu","Cuda na Kiju","Kilka razy w miesiącu","Mieszkanie znajomych","Przynajmniej kilka razy w tygodniu","Basen","Kilka razy w miesiącu","Siłownia","Kilka razy w miesiącu","Wybrzeże Wisły","Kilka razy w miesiącu","Pardon to tu","Przynajmniej kilka razy w tygodniu","Cuda na Kiju","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","",""
"133",133,"Krowarzywa","Kilka razy w miesiącu","LovingHut","Kilka razy w miesiącu","W gruncie rzeczy","Kilka razy w roku","","","","","","","Tel Aviv","Kilka razy w roku","","","","","Arkadia","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","",""
"134",134,"Beirut","Kilka razy w roku","Kufle i Kapsle","Przynajmniej kilka razy w tygodniu","Bibenda","Kilka razy w miesiącu","Calypso","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","Stadion Legii","Kilka razy w roku","Kufle i Kapsle","Kilka razy w roku","Warszawa Powiśle","Kilka razy w roku","Plażowa","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","",""
"135",135,"park skaryszewski","Kilka razy w roku","złote tarasy","Kilka razy w miesiącu","","","filtry","Przynajmniej kilka razy w tygodniu","pole mokotowskie","Kilka razy w miesiącu","","","hydrozagadka","Kilka razy w roku","","","","","buw","Kilka razy w miesiącu","łazienki","Kilka razy w roku","","","","","","","","","","","","","","","",""
"136",136,"Pub ""Cuda na Kiju""","Kilka razy w miesiącu","ul. Chmielna","Kilka razy w miesiącu","Bulwary i plaże nadwiślańskie","","Ogród Saski","Przynajmniej kilka razy w tygodniu","Ogród Krasińskich","Przynajmniej kilka razy w tygodniu","","","1500 m2","Kilka razy w miesiącu","Bulwary Nadwiślańskie","","Temat Rzeka","Kilka razy w miesiącu","Multitap Bar Pif Paf","Kilka razy w roku","Pole Mokotowskie","Kilka razy w miesiącu","Park Dolinka Służewiecka","Kilka razy w roku","Biblioteka Uniwersytetu Warszawskiego","Kilka razy w roku","","","","","","","","","","","",""
"137",137,"Barn Burger","Kilka razy w miesiącu","Gadka Szmatka","Kilka razy w miesiącu","Huśtawka","Kilka razy w miesiącu","Park Saski","Kilka razy w miesiącu","Cmentarz Mauzoleum Żołnierzy Radzieckich","Przynajmniej kilka razy w tygodniu","Park Szczęśliwicki","Przynajmniej kilka razy w tygodniu","British Buldog Pub","Kilka razy w miesiącu","Organza","Kilka razy w roku","Bar Before","Kilka razy w roku","Kawiarnia Green Coffee Nero Telimena","Kilka razy w miesiącu","Park Saski","Kilka razy w miesiącu","Ogród przy Stawki 5/7","Przynajmniej kilka razy w tygodniu","Cinema City Arkadia","Kilka razy w miesiącu","Lodziarnia Zbigniewa Gruszczyńskiego","Przynajmniej kilka razy w tygodniu","Kinoteka","Kilka razy w miesiącu","Klub Basen","Kilka razy w roku","Holmes Place Energy CH Arkadia","Kilka razy w miesiącu","Starbucks Gruba Kaśka","Kilka razy w miesiącu","Kwiarnia Antykwariat","Kilka razy w roku"
"138",138,"Mieszkanie na Jagiellońskiej i okolice","Przynajmniej kilka razy w tygodniu","","Raz w roku lub rzadziej","","Przynajmniej kilka razy w tygodniu","Siłownia u Jaha OVERJAH","Przynajmniej kilka razy w tygodniu","Warszawska Ścieżka Biegowa","Kilka razy w miesiącu","Pole Mokotowskie/Filtry","Kilka razy w miesiącu","Plan B","Kilka razy w miesiącu","Kulturalna","Kilka razy w roku","BarKa","Kilka razy w roku","Kino Luna","Kilka razy w miesiącu","Kinoteka","Kilka razy w roku","Zachęta","Kilka razy w roku","CSW","Kilka razy w roku","Chmury","Kilka razy w roku","Kino Praha","Raz w roku lub rzadziej","Po drugiej stronie lustra","Kilka razy w roku","Bazar","Kilka razy w roku","W Oparach Absurdu","Raz w roku lub rzadziej","",""
"139",139,"pub na natolinie","Kilka razy w roku","","","","","siłownia s4 ursynów","Kilka razy w miesiącu","siłownia calypso ursynów","Kilka razy w miesiącu","","","1500m2","Kilka razy w miesiącu","Nowa Jerozolima","Kilka razy w miesiącu","Basen","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"140",140,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141",141,"Mauzoleum żołnierzy radzieckich przy Żwirki i Wigury","Kilka razy w roku","","","","","Pola Mokotowskie","Kilka razy w roku","","","","","Hydrozagadka","Raz w roku lub rzadziej","","","","","Ogród wydziału psychologii","Kilka razy w miesiącu","Państwomiasto","Kilka razy w roku","","","","","","","","","","","","","","","",""
"142",142,"Stare miasto","Kilka razy w roku","Lazienki Kroloewskie","Kilka razy w roku","Plac Kultury","Kilka razy w roku","Park Skaryszewski","Kilka razy w roku","Kampus Sggw","Kilka razy w roku","","","Tygmont","Kilka razy w roku","","","","","Stare Miasto","Kilka razy w roku","Lazienki Krolewskie","Kilka razy w roku","Palac Krolewski","Kilka razy w roku","Kampus Sggw","Kilka razy w roku","Park Skaryszeski","Kilka razy w roku","Promenada","Kilka razy w roku","multikino","Kilka razy w roku","ul. Francuska","Kilka razy w roku","","","",""
"143",143,"Kawiarnia Relaks","Kilka razy w miesiącu","Warburger","Kilka razy w miesiącu","Aioli","Kilka razy w miesiącu","Las Kabacki","Kilka razy w roku","","","","","Beirut/Kraken","Kilka razy w miesiącu","","","","","Plac Zbawiciela","Kilka razy w miesiącu","Powiśle","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"144",144,"Kawiarnia ""Relax""","Kilka razy w miesiącu","Kawiarnia ""Dwóch Takich""","Kilka razy w miesiącu","Cafe Próżna","Kilka razy w roku","Dojo na Karowej","Kilka razy w miesiącu","akademia ""Gorila""","Przynajmniej kilka razy w tygodniu","Boiska szkolne/ orliki na Pradze północ ","Kilka razy w roku","Warszawskie pawilony","Kilka razy w miesiącu","Cocktailbar ""Zamieszanie""","Kilka razy w miesiącu","BarStudio","Kilka razy w miesiącu","Okolice Krakowskiego Przedmieścia i Nowego Światu","Przynajmniej kilka razy w tygodniu","Warszawskie Łazienki/ Park Ujazdowski","Kilka razy w roku","Biblioteka Uniwersytecka","Przynajmniej kilka razy w tygodniu","Budynek Szkoły Biznesu Politechniki Warszawskiej","Kilka razy w miesiącu","Teatr Ateneum","Kilka razy w roku","Kinoteka","Kilka razy w roku","Cafe Kulturalna","Kilka razy w miesiącu","Teatr ""Baza""","Kilka razy w roku","Stare i nowe miasto","Kilka razy w miesiącu","Plaża nad Wisłą ","Kilka razy w roku"
"145",145,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146",146,"Spiskowcy rozkoszy","Kilka razy w miesiącu","Park szczęśliwicki","Kilka razy w miesiącu","Pink flamingo","Kilka razy w roku","Szkoła na smolnej","Przynajmniej kilka razy w tygodniu","OSIR ochota","Przynajmniej kilka razy w tygodniu","","","Spiskowcy rozkoszy","Kilka razy w miesiącu","Pink flamingo","Kilka razy w miesiącu","","","Uniwersytet Warszawski","Przynajmniej kilka razy w tygodniu","Blue City","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","",""
"147",147,"green coffee na placu konstytucji","Kilka razy w miesiącu","między słowami na Chmielnej","Kilka razy w roku","złote tarasy","Przynajmniej kilka razy w tygodniu","hipodrom w wesołej","Przynajmniej kilka razy w tygodniu","szkoła tańca na twardej","Kilka razy w miesiącu","","","","","","","","","park przy pałacu kultury","","","","","","","","","","","","","","","","","","",""
"148",148,"Solec 44","Kilka razy w roku","Państwomiasto","Kilka razy w roku","Paradox","Kilka razy w roku","Siłownia Calypso Żoliborz","Przynajmniej kilka razy w tygodniu","","","","","Hydrozagadka","Kilka razy w roku","Hybrydy","Raz w roku lub rzadziej","","","Galeria Arkadia","Kilka razy w miesiącu","Kino Cinema city Bemowo","Kilka razy w miesiącu","Kawiarnia Fenomenalna","Kilka razy w roku","Hulakula","Kilka razy w miesiącu","Teatr Narodowy","Kilka razy w roku","","","","","","","","","",""
"149",149,"Cuda na Kiju","Kilka razy w miesiącu","Secret Life cafe","Przynajmniej kilka razy w tygodniu","bulwary wiślane","Kilka razy w roku","Park Fontann","Kilka razy w roku","bulwary wiślane","Kilka razy w roku","","","Cuda na Kiju","Kilka razy w miesiącu","Relax Cafe Bar","Kilka razy w miesiącu","Kufle i Kapsle","Kilka razy w roku","okolice śródmieścia","Przynajmniej kilka razy w tygodniu","Żoliborskie ulice","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","",""
"150",150,"Pub Zakątek","Kilka razy w miesiącu","Bierhalle Arkadia","Kilka razy w roku","Cafe Fajka","Kilka razy w miesiącu","Ośrodek Sportowy UW","Kilka razy w miesiącu","","","","","Pub Zakątek","","Cafe Fajka","Kilka razy w miesiącu","","","CH Arkadia","Kilka razy w roku","Starbucks Cafe","Kilka razy w roku","","","","","","","","","","","","","","","",""
"151",151,"Różana","Kilka razy w miesiącu","Kiku","Kilka razy w miesiącu","","","s4","Kilka razy w miesiącu","","","","","różana","Kilka razy w miesiącu","pawilony przy nowym świecie","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","","","",""
"152",152,"","","","","","","","","","","","","","","","","","","Pijalnia Wódki i Piwa","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","",""
"153",153,"Pub Inside","Kilka razy w roku","Land Club","Kilka razy w roku","Pub Wieżyca","Kilka razy w roku","Wodny Park","Kilka razy w miesiącu","","","","","Pub Inside","Kilka razy w roku","Land Club","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"154",154,"Centrum","Przynajmniej kilka razy w tygodniu","Klub na kampusie SGGW","Kilka razy w miesiącu","Puby, bary, restauracje na Białołęce","Kilka razy w miesiącu","Korty tenisowe KORTLAND","Kilka razy w miesiącu","Basen SGGW","Kilka razy w miesiącu","","","","","","","","","Aioli","Kilka razy w miesiącu","Złote Taras","Kilka razy w miesiącu","Arkadia","Kilka razy w miesiącu","Stare Miasto","Kilka razy w miesiącu","Nowy Świat","Kilka razy w miesiącu","","","","","","","","","",""
"155",155,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156",156,"Aiolii","Kilka razy w roku","knajpki na ząbkowskiej","Kilka razy w miesiącu","kawiarnie siecowe, typu Costa","Kilka razy w miesiącu","Stare Miasto","Kilka razy w roku","trasy wzdłuż Wisły","Kilka razy w roku","S4","Kilka razy w miesiącu","Aiolii","Kilka razy w roku","knajpki na Ząbkowskiej","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","",""
"157",157,"osiedle Piaski","Kilka razy w miesiącu","stadion Hutnika","Kilka razy w miesiącu","schodki nad Wisłą","Kilka razy w roku","AWF w Warszawie","Przynajmniej kilka razy w tygodniu","siłownia S4","Kilka razy w miesiącu","","","","","","","","","stadion Legii","Kilka razy w miesiącu","studio tatuażu Olga Kinga Tattoo","Kilka razy w roku","Forty Bema","Kilka razy w miesiącu","Muzeum Powstania Warszawskiego","Kilka razy w roku","Muzeum Narodowe","Kilka razy w roku","Biblioteka Uniwersytecka","Przynajmniej kilka razy w tygodniu","","","","","","","",""
"158",158,"Coffeheaven  ","Kilka razy w miesiącu","Starbucks  ","Kilka razy w miesiącu","Mcdonalds  ","Kilka razy w miesiącu","AZS SGGW","Kilka razy w miesiącu","","","","","""Kartka"" SGGW","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","",""
"159",159,"Burgerowania na złotej","Kilka razy w miesiącu","Złote Tarasy","Kilka razy w miesiącu","","","Klub Judo UW","Przynajmniej kilka razy w tygodniu","Szkoła Tańca przy Metrze Służew","Kilka razy w miesiącu","Siedziba ARMA","Przynajmniej kilka razy w tygodniu","Bar ""Słoik""","Kilka razy w roku","Art Sushi","Kilka razy w roku","Sushizushi","Kilka razy w roku","Kufle i Kapsle","Kilka razy w miesiącu","PiwPaw","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"160",160,"Złote Tarasy","Kilka razy w roku","Kampus SGGW","Przynajmniej kilka razy w tygodniu","BUW","Kilka razy w miesiącu","siedziba ARMA","Przynajmniej kilka razy w tygodniu","Kampus SGGW","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161",161,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162",162,"Plaża na Wisłą w okolicach stadionu narodowego","Kilka razy w miesiącu","Padbar","Kilka razy w miesiącu","Mieszkanie prywatne","Kilka razy w miesiącu","","","","","","","Hybrydy","Raz w roku lub rzadziej","Dziekanat 131","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","","","",""
"163",163,"manekin","Kilka razy w roku","dedal","Kilka razy w roku","regeneracja","Kilka razy w roku","Pola Mokotowskie","Kilka razy w roku","Błonia Stadionu Narodowego","Kilka razy w roku","boisko przy liceum im. T. Reytana (Mokotów)","Przynajmniej kilka razy w tygodniu","Klub Park","Kilka razy w roku","","","","","park Morskie Oko","Kilka razy w miesiącu","Krakowskie Przedmieście","Kilka razy w roku","Galeria Mokotów","Kilka razy w miesiącu","","","","","","","","","","","","","",""
"164",164,"Tokio Sushi W Galerii Mokotów","Kilka razy w roku","Pawilony","Raz w roku lub rzadziej","Mc Donald","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","NIghtSkating","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165",165,"Green coffee nero","Kilka razy w miesiącu","Pijalnia czekolady Wedel","Kilka razy w roku","Pawilony","Kilka razy w roku","Park Henrykowski","Przynajmniej kilka razy w tygodniu","Stare Miasto","Kilka razy w miesiącu","","","Pawilony","Kilka razy w roku","Hybrydy","Kilka razy w roku","Klubokawiarnia","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"166",166,"Pawilony","Kilka razy w miesiącu","Centrum zarządzania światem","Kilka razy w roku","schodki nad wislą w lato","Przynajmniej kilka razy w tygodniu","Park skaryszewski","Kilka razy w miesiącu","park praski","Kilka razy w miesiącu","krakowskie przedmieście","Kilka razy w roku","pawilony ","Kilka razy w miesiącu","klub chwila","Kilka razy w roku","","","chmielna, nowy świat","Kilka razy w miesiącu","Praga Północ targowa","Przynajmniej kilka razy w tygodniu","pomnik kosciuszkowski przy moscie swietokrzyskim","Kilka razy w miesiącu","most śląskodąbrowski","Kilka razy w miesiącu","ogrody buw","Kilka razy w roku","","","","","","","","","",""
"167",167,"Mój dom","Kilka razy w miesiącu","Proxima","Kilka razy w roku","Rock&Roll","Kilka razy w roku","Służew nad dolinką","Przynajmniej kilka razy w tygodniu","","","","","Proxima","Kilka razy w roku","","","","","Pole Mokotowskie","Kilka razy w roku","","","","","","","","","","","","","","","","","",""
"168",168,"Mercato","Przynajmniej kilka razy w tygodniu","Bazylszek","Kilka razy w miesiącu","Manekin","Kilka razy w miesiącu","Siłownia przy Karowej UW","Przynajmniej kilka razy w tygodniu","-","Raz w roku lub rzadziej","-","Raz w roku lub rzadziej","Organza","Kilka razy w roku","Enklawa","Kilka razy w roku","Platinium","Kilka razy w roku","Teatr Studio","Kilka razy w roku","","","","","","","","","","","","","","","","","",""
"169",169,"sultan club","Kilka razy w miesiącu","plaża nad wisłą","Kilka razy w roku","pawilony","Kilka razy w roku","oh lala","Kilka razy w miesiącu","pole mokotowskie","Kilka razy w roku","","","sultan club","Kilka razy w roku","klubokawiarnia","Kilka razy w roku","sketch nite","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"170",170,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"171",171,"","Kilka razy w roku","","","","","Park Moczydło","Kilka razy w roku","Park Saski","Kilka razy w roku","Park Praski","","","","","","","","Kino Muranów","Raz w roku lub rzadziej","Ogród na dachu BUW","","Wola Park","Kilka razy w roku","Galeria Wileńska","Kilka razy w roku","","","","","","","","","","","",""
"172",172,"Złote Tarasy","Przynajmniej kilka razy w tygodniu","Harenda","Kilka razy w roku","Browarnia","Kilka razy w roku","","","","","","","Hulakula","Kilka razy w miesiącu","Hybrydy","Kilka razy w miesiącu","Explosion","Kilka razy w miesiącu","Złote Tarasy","Kilka razy w miesiącu","Arkadia","Kilka razy w miesiącu","Hybrydy","Kilka razy w miesiącu","Hulakula","Kilka razy w miesiącu","Park Saski","","BUW","Kilka razy w miesiącu","Stadion Narodowy","Kilka razy w roku","","","","","",""
"173",173,"Chmielarnia","Kilka razy w roku","Beer Heaven","Kilka razy w roku","Znajomi Znajomych","Kilka razy w roku","Gokarty (Jagiellońska)","Raz w roku lub rzadziej","Łyżwy z żoną","Raz w roku lub rzadziej","Dom","Kilka razy w roku","Chmielarnia","Kilka razy w roku","Długa ta ankieta","Przynajmniej kilka razy w tygodniu","I takie skutki","Przynajmniej kilka razy w tygodniu","Dom","Przynajmniej kilka razy w tygodniu","Praca","Przynajmniej kilka razy w tygodniu","Rodzice","Kilka razy w miesiącu","Centra handlowe (Arkadia)","Kilka razy w miesiącu","","","","","","","","","","","",""
"174",174,"Ministerstwo Kawy","Kilka razy w miesiącu","Beirut","Kilka razy w miesiącu","SAM Lipowa","Kilka razy w miesiącu","Park Morskie Oko","Kilka razy w miesiącu","Park przy Potoku Służewieckim","Kilka razy w miesiącu","Park Ujazdowski","Kilka razy w miesiącu","Regeneracja","Kilka razy w roku","55","Kilka razy w roku","Barka","Kilka razy w roku","Green Caffe Nero - sieć","Kilka razy w miesiącu","Być Może","Kilka razy w miesiącu","Gringo Bar","Kilka razy w roku","Tel-aviv","Kilka razy w roku","Nabo","Kilka razy w roku","","","","","","","","","",""
"175",175,"Starbucks Zebra Tower","Kilka razy w miesiącu","U Araba na Kępie Potockiej/Kępa Potocka","Kilka razy w roku","Skwerek przy kinie Iluzjon","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w roku","Las Młociński","Kilka razy w roku","","","Pawilony","Kilka razy w roku","Latawiec","Kilka razy w miesiącu","","","Park Żeromskiego","Kilka razy w miesiącu","Park Krasińskich","Kilka razy w miesiącu","Starbucks Gruba Kaśka","Kilka razy w miesiącu","Kino Muranów","Kilka razy w roku","Krowarzywa","Kilka razy w roku","Plaża nad Wisłą (Poniatówka koło Plażowej/Tematu Rzeka)","Kilka razy w roku","Park Saski","Kilka razy w roku","","","Państwo Miasto","Kilka razy w roku","",""
"176",176,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"177",177,"Spiskowcy Rozkoszy","Kilka razy w miesiącu","Alternatywa Cafe","Kilka razy w roku","","","Park Skaryszewski","Kilka razy w miesiącu","Brzeg Wisły","Kilka razy w roku","","","","","","","","","Wrzenie Świata","Kilka razy w roku","Nowy Świat","Kilka razy w roku","Plaża Poniatówka","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","","","","","","","","","","","",""
"178",178,"Funky","Przynajmniej kilka razy w tygodniu","Ukrainski smak","Kilka razy w miesiącu","Multikino","Kilka razy w roku","Total Fitness","Przynajmniej kilka razy w tygodniu","McFit","Przynajmniej kilka razy w tygodniu","BUW","Kilka razy w miesiącu","the EVE","Raz w roku lub rzadziej","","","","","coffe heaven","Kilka razy w miesiącu","wiking","Kilka razy w roku","Pizza hut","Kilka razy w roku","HulaKula","Kilka razy w roku","Bowling 007","Kilka razy w roku","","","","","","","","","",""
"179",179,"Klub Rama","Kilka razy w miesiącu","Parasole pod Kabackim","Kilka razy w roku","Mały Belgrad","Kilka razy w roku","Las Kabacki","Przynajmniej kilka razy w tygodniu","Pływalnia Wilczy Dół","Kilka razy w miesiącu","Park Wynalazców","Kilka razy w miesiącu","Klub Park","Kilka razy w miesiącu","Klub Rama","Kilka razy w miesiącu","Stodoła","Kilka razy w roku","Las Kabacki","Przynajmniej kilka razy w tygodniu","Trasa rowerowa Warszawa-Czersk","Kilka razy w miesiącu","Multikino Ursynów","Kilka razy w roku","Ursynów - spacery","Przynajmniej kilka razy w tygodniu","Lodowisko Figlowisko","Kilka razy w roku","Polana Kabacka","Kilka razy w roku","","","","","","","",""
"180",180,"Akademik","Kilka razy w miesiącu","Mieszkanie znajomych","Kilka razy w miesiącu","Pub","Kilka razy w roku","moje mieszkanie","Przynajmniej kilka razy w tygodniu","pobliskie boisko ","Kilka razy w miesiącu","ścianki wspinaczkowe","Kilka razy w miesiącu","Akadamik","Kilka razy w miesiącu","mieszkania znajomych","Kilka razy w roku","kulby","Kilka razy w roku","uczelnia","Przynajmniej kilka razy w tygodniu","centrum handlowe","Kilka razy w miesiącu","mieszkanie","Przynajmniej kilka razy w tygodniu","pobliski park","Kilka razy w miesiącu","","","","","","","","","","","",""
"181",181,"City24","Kilka razy w miesiącu","Uniwer Pub City","Kilka razy w miesiącu","Plażowa","Kilka razy w miesiącu","Park Jeziorko Balaton","Kilka razy w miesiącu","OSIR Anin","Kilka razy w roku","Kampus PW: Fontanna","Przynajmniej kilka razy w tygodniu","Plażowa","Kilka razy w miesiącu","Temat Rzeka","Kilka razy w miesiącu","City24","Kilka razy w miesiącu","Centrum Handlowe Promenada","Kilka razy w miesiącu","Stare Miasto","Kilka razy w roku","Ulubiona","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","Pizza przy Politechnice","Kilka razy w roku","Cofeina","Kilka razy w roku","Kafefajka","Kilka razy w roku","ISKRA Pole Mokotowskie","Raz w roku lub rzadziej","7 Street Bar & Grill","Kilka razy w roku","Zapiexy Luxusowe","Kilka razy w roku"
"182",182,"Pizza Hut plac bankowy","Kilka razy w roku","","","","","","","","","","","","","","","","","McDonald Gorczewska","Kilka razy w roku","","","","","","","","","","","","","","","","","",""
"183",183,"Klub No 22","Przynajmniej kilka razy w tygodniu","Klub Dziekanat 161","Kilka razy w miesiącu","Kampus SGGW","Kilka razy w miesiącu","Kampus SGGW","Przynajmniej kilka razy w tygodniu","Park Szczęśliwicki","Raz w roku lub rzadziej","Figlowisko (m.Imielin)","Kilka razy w roku","Klub no 22","Przynajmniej kilka razy w tygodniu","Klub Dziekanat 161","Kilka razy w miesiącu","Klub Park (SGH)","Kilka razy w roku","Galeria Złote Tarasy","Kilka razy w roku","Kopa Cwila","Kilka razy w roku","Multikino Ursynów","Kilka razy w roku","","","","","","","","","","","","","",""
"184",184,"Jajko SGH","Kilka razy w miesiącu","Starbucks Nowy Świat","Kilka razy w roku","","","Pole Mokotowskie","Kilka razy w miesiącu","","","","","Hybrydy","Kilka razy w roku","Capitol","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"185",185,"klub 22 na Ursynowie","Kilka razy w roku","wook","Kilka razy w roku","hulakulA","Kilka razy w roku","park szymanskiego","Kilka razy w roku","park moczydlo","Kilka razy w roku","pole mokotowskie","Kilka razy w roku","70","Raz w roku lub rzadziej","","","","","buffo teatr","Raz w roku lub rzadziej","multikino wola park","Kilka razy w roku","zielona ges","Kilka razy w roku","arena ursynoe","Kilka razy w roku","kepa potocka","Kilka razy w roku","las kabacki, ppaek kultury powsin","Kilka razy w roku","pod mostem Poniatowskiego","","manekin restauracja","Kilka razy w miesiącu","pizzahut","Kilka razy w miesiącu","du za mi ha","Kilka razy w roku"
"186",186,"park przy ulicy elekcyjnej","Kilka razy w miesiącu","wola park","Kilka razy w miesiącu","","","park Słowińskiego","Kilka razy w roku","","","","","park przy elekcyjnej","Kilka razy w miesiącu","","","","","wola park","","","","","","","","","","","","","","","","","","",""
"187",187,"Uniwersytet Warszawski","Przynajmniej kilka razy w tygodniu","UKSW","Kilka razy w miesiącu","Galeria Handlowa Arkadia","Kilka razy w miesiącu","Siłownia Forfriday","Kilka razy w miesiącu","","","","","Hula Kula","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","",""
"188",188,"nowy świat","Kilka razy w miesiącu","","","","","park szczęśliwicki","Kilka razy w miesiącu","","","","","hybrydy","Kilka razy w miesiącu","klub park","Kilka razy w roku","","","uczelnia aps","Przynajmniej kilka razy w tygodniu","łazienki","Kilka razy w miesiącu","muzeum powstania warszawskiego","Kilka razy w roku","wilanów","Kilka razy w roku","krakowskie przedmieście","Kilka razy w roku","","","","","","","","","",""
"189",189,"pub","Kilka razy w miesiącu","restauracja","Kilka razy w miesiącu","klub","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
